ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 1- LA SUITE DON QUIJOTE ;PROGRAMA 1/BALLET/GRATUITO;1200;05/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 1- LA SUITE DON QUIJOTE ;PROGRAMA 1/BALLET/GRATUITO;1200;06/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 1- LA SUITE DON QUIJOTE ;PROGRAMA 1/BALLET/GRATUITO;1200;07/03/2010; 19:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 2- PULSACIONES/ VIVALDI /SINFONIA DE LOS SALMOS;PROGRAMA 2/BALLET/GRATUITO;1200;13/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 2- PULSACIONES/ VIVALDI /SINFONIA DE LOS SALMOS;PROGRAMA 2/BALLET/GRATUITO;1200;14/03/2010; 19:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 3- VIVALDI/ PAS DE DEUX/3ER. ACTO DON QUIJOTE;PRAGRAMA 3/ BALLET/GRATUITO;1200;20/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;PROGRAMA 3- VIVALDI/ PAS DE DEUX/3ER. ACTO DON QUIJOTE;CANCELADA POR LLUVIA;;2010;S/D;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;CICLO CONCIERTOS OFBA / CICLO FAMILIAR;OFBA/GRATUITO;1200;19/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;CICLO CONCIERTOS OFBA / CICLO FAMILIAR;CANCELADA;;2010;S/D;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;CICLO CONCIERTOS OFBA / CICLO FAMILIAR;OFBA/GRATUITO;1200;12/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;CICLO CONCIERTOS OFBA / LA FILARMONICA PORTENIA;OFBA/GRATUITO;1200;16/04/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;CONCIERTO EXTRAORDINARIO - ORQUESTA ESTABLE IX SINFONIA;ORQUESTA ESTABLE/GRATUITO;1200;27/03/2010; 20:00 hs;
2010;TEMPORADA DE VERANO/ PARQUE CENTENARIO;CONCIERTO EXTRAORDINARIO - ORQUESTA ESTABLE IX SINFONIA;ORQUESTA ESTABLE/GRATUITO;1090;28/03/2010; 19:00 hs;
2010;TEMPORADA LIRICA;CONCIERTO GALA 24 DE MAYO;GALA BICENTENARIO/INVITADOS;2832;24/05/2010; 20:30 hs;
2010;TEMPORADA LIRICA;PRIMER TITULO: LA BOHEME;LA BOHEME;2558;26/05/2010; 20:30 hs;GA
2010;TEMPORADA LIRICA;PRIMER TITULO: LA BOHEME;LA BOHEME;2684;28/05/2010; 20:30 hs;ANT
2010;TEMPORADA LIRICA;PRIMER TITULO: LA BOHEME;LA BOHEME;2620;30/05/2010;17:00 hs;AV 
2010;TEMPORADA LIRICA;PRIMER TITULO: LA BOHEME;LA BOHEME;2650;01/06/2010; 20:30 hs;ANN 
2010;TEMPORADA LIRICA;PRIMER TITULO: LA BOHEME;LA BOHEME;2665;04/06/2010; 20:30 hs;FE
2010;TEMPORADA LIRICA;PRIMER TITULO: LA BOHEME;LA BOHEME;2629;06/06/2010; 17:00 hs;FE
2010;TEMPORADA LIRICA;SEGUNDO TITULO: DON GIOVANNI ;DON GIOVANNI;2654;13/07/2010; 20:30 hs;GA 
2010;TEMPORADA LIRICA;SEGUNDO TITULO: DON GIOVANNI ;DON GIOVANNI;2686;16/07/2010; 20:30 hs;ANT 
2010;TEMPORADA LIRICA;SEGUNDO TITULO: DON GIOVANNI ;DON GIOVANNI;2645;18/07/2010; 17:00 hs;AV 
